代码,    名称,现价,所属行业,总市值,流通市值,
SZ300438,鹏辉能源,20.51,其他电子,5766424900,4353080900,
SZ300439,美康生物,15.01,医疗器械服务,5182992300,3020139100,
SZ300440,运达科技,11.49,计算机应用,5147520000,5077041600,
SZ300441,鲍斯股份,9.37,通用设备,6197482000,5580259700,
SZ300442,普丽盛,14.95,专用设备,1495000000,1482974600,
SZ300443,金雷股份,15.59,电气设备,3711305500,2485843900,
SZ300444,双杰电气,4.02,电气设备,2354597000,1281675290,
SZ300445,康斯特,14.64,仪器仪表,2399852000,1413537300,
SZ300446,乐凯新材,10.87,化学制品,2002254000,1932532700,
SZ300447,全信股份,10.38,电气设备,3021298900,1812398900,
SZ300448,浩云科技,9.11,计算机应用,6307048100,3834953000,
SZ300449,汉邦高科,8.08,计算机设备,2446290100,1982492000,
SZ300450,先导智能,38.00,专用设备,33494958000,32219945000,
SZ300451,创业慧康,15.61,计算机应用,17321280000,13001126900,
SZ300452,山河药辅,24.22,化学制药,3371424000,2660843900,
SZ300453,三鑫医疗,12.36,医疗器械服务,3247033800,1818498100,
SZ300454,深信服,191.52,计算机应用,78334197000,40293786000,
SZ300455,康拓红外,14.11,计算机设备,10127705600,7061096600,
SZ300456,耐威科技,22.91,国防军工,14705896000,7846835100,
SZ300457,赢合科技,42.23,专用设备,15875079000,12181026500,
SZ300458,全志科技,28.57,半导体及元件,9445549300,6089300100,
SZ300459,金科文化,2.30,传媒,8150151300,5218063600,
SZ300460,惠伦晶体,14.76,半导体及元件,2483727200,2483727200,
SZ300461,田中精机,14.78,专用设备,1797874400,923417040,
SZ300462,华铭智能,22.02,计算机设备,4145595900,1703740200,
SZ300463,迈克生物,37.39,医疗器械服务,20852375000,14087124000,
SZ300464,星徽精密,10.39,零售,3668939400,2605119000,
SZ300465,高伟达,13.00,计算机应用,5807909300,5807909300,
SZ300466,赛摩电气,4.72,电气设备,2543482100,1596027800,
SZ300467,迅游科技,14.91,通信服务,3321397400,2044001300,
SZ300468,四方精创,35.39,计算机应用,6687586800,6592558300,
SZ300469,信息发展,14.10,计算机应用,2892408800,2336845300,
SZ300470,中密控股,25.44,通用设备,5005246200,4572262500,
SZ300471,厚普股份,8.62,专用设备,3143886400,2342398200,
SZ300472,新元科技,10.62,专用设备,2217968600,1715345000,
SZ300473,德尔股份,22.81,汽车零部件,2599188600,2550617800,
SZ300474,景嘉微,55.10,国防军工,16600150000,8458856900,
SZ300475,聚隆科技,10.95,白色家电,3285000000,2119386500,
SZ300476,胜宏科技,22.62,半导体及元件,17624372000,17182695000,
SZ300477,合纵科技,8.23,电气设备,6855390000,3947717800,
SZ300478,杭州高新,12.45,化工合成材料,1577078900,1557760600,
SZ300479,神思电子,14.63,计算机设备,2476672300,2428559600,
SZ300480,光力科技,16.45,专用设备,3155158200,1551806000,
SZ300481,濮阳惠成,16.72,化学制品,4298034800,4257121800,
SZ300482,万孚生物,79.30,医疗器械服务,27175567000,18977056000,
SZ300483,沃施股份,30.66,石油矿业开采,3777924200,2647050500,
SZ300484,蓝海华腾,8.95,电气设备,1861600000,1244780720,
SZ300485,赛升药业,15.55,生物制品,7528781300,3861365900,
SZ300486,东杰智能,26.39,专用设备,4767903400,4256927700,
SZ300487,蓝晓科技,27.19,化学制品,5699077300,3087429200,
SZ300488,恒锋工具,14.88,通用设备,2471342300,743667330,
SZ300489,中飞股份,34.25,新材料,3108187500,2450266400,
SZ300490,华自科技,8.16,电气设备,2136434900,1914520500,
SZ300491,通合科技,11.53,电气设备,1853580100,1410046500,
SZ300492,山鼎设计,45.32,建筑装饰,3770624000,2693279300,
SZ300493,润欣科技,8.54,半导体及元件,4074168900,4074168900,
SZ300494,盛天网络,14.30,通信服务,3432000000,2115215600,
SZ300495,美尚生态,10.44,环保工程,7039477900,4811445700,
SZ300496,中科创达,62.00,计算机应用,24955936000,17557860000,
SZ300497,富祥药业,26.85,化学制药,7751575700,6049471600,
SZ300498,温氏股份,30.23,养殖业,160566930000,121552984000,
SZ300499,高澜股份,15.15,专用设备,2810824600,1867644000,
SZ300500,启迪设计,14.00,建筑装饰,2442722600,2214595000,
SZ300501,海顺新材,11.23,包装印刷,1757829700,956838060,
SZ300502,新易盛,72.30,通信设备,17095997000,12356157000,
SZ300503,昊志机电,13.48,通用设备,3828172900,2534878400,
SZ300504,天邑股份,24.68,通信设备,6599629400,2601469400,
SZ300505,川金诺,14.37,化学制品,1877928500,1176674170,
